gene,cluster_id,logFC,logCPM,F,p_adj_val,p_adj.loc,p_adj.glb,contrast
LINC00871,Ast,0.80506548227924,1.45364308428289,7.26548461201201,0.00847873710895524,0.255563859904256,0.283432672818234,High_vs_Not_AD
RPL36AL,Ast,-0.828197371567131,3.23468681528349,10.0989889256732,0.00209065078484174,0.155824965945984,0.203244561687216,High_vs_Not_AD
POLE2,Ast,-0.599658634867895,3.92402719838986,6.67064155611794,0.0115690206482577,0.273048146072851,0.298361970901725,High_vs_Not_AD
AL627171.2,Ast,1.15779544882284,4.6230531676115,8.61111196041882,0.00432653318666834,0.208947341173187,0.244718102639054,High_vs_Not_AD
AL139317.1,Ast,-0.691805927226777,1.53608163669209,5.00038809803234,0.0279958508348692,0.335527607162868,0.34406424800872,High_vs_Not_AD
HSPA2,Ast,0.76099254077417,3.5347489157975,8.54212929970567,0.00447935004954206,0.211691950317525,0.247094693806162,High_vs_Not_AD
AL157997.1,Ast,0.980326873846167,0.670231217506135,7.88869905087874,0.00607754327636448,0.232882541491426,0.265540560392764,High_vs_Not_AD
ZFP36L1,Ast,0.570962082296009,7.72223836303214,5.65459737597498,0.0197208045526059,0.308741878448065,0.323675508434577,High_vs_Not_AD
AL359317.1,Ast,-0.875317989901143,2.36068143621649,4.32953541037213,0.040555700354696,0.370495097734255,0.370577787608099,High_vs_Not_AD
ADAM21,Ast,-1.09239038230868,0.79006035555498,8.32393210525258,0.00488701374795803,0.219245692212095,0.25325090772505,High_vs_Not_AD
LTBP2,Ast,0.845356954480199,2.24432219446359,4.86559992721521,0.0301827059875368,0.344120419203149,0.349969229756454,High_vs_Not_AD
PGF,Ast,-0.967783061297056,0.415081601549575,7.68122182047428,0.00669784862378517,0.243691615049293,0.271031785895898,High_vs_Not_AD
NGB,Ast,1.11627774183172,1.34004220461537,11.7035515280576,0.000957905512664504,0.121892165942272,0.162773580591566,High_vs_Not_AD
TSHR,Ast,-0.909101492718904,4.35179733457653,6.47348079443982,0.0128152061899207,0.278026886150583,0.302504571490577,High_vs_Not_AD
AL136040.2,Ast,-0.568314099522485,0.624638254698379,6.17403174095663,0.0147747116092186,0.290022771278851,0.308433574158071,High_vs_Not_AD
LINC02301,Ast,-0.830549917454291,1.27975746932038,6.16783823024197,0.0149656468374247,0.290022771278851,0.308953138910048,High_vs_Not_AD
FLRT2,Ast,0.569478641573971,9.12560384253127,4.32910049814469,0.0405672621711516,0.370495097734255,0.370577787608099,High_vs_Not_AD
LINC02316,Ast,-0.837873435721164,1.84650626308151,7.68460429438607,0.00687273636662223,0.243691615049293,0.272202117334301,High_vs_Not_AD
SLC24A4,Ast,-0.68998124736513,6.54257442906674,7.34377744152906,0.00818290511626832,0.255563859904256,0.28279419139392,High_vs_Not_AD
IFI27L2,Ast,-0.694588599637018,3.61929240518567,9.88104475677763,0.00232230809748799,0.162881602215686,0.211242269396005,High_vs_Not_AD
AK7,Ast,0.66905420035517,1.44941832422552,9.36899114625169,0.00295931102452625,0.176974921876329,0.22481574437602,High_vs_Not_AD
AL157912.1,Ast,-0.666186637329591,0.32644924043118,4.47569376541737,0.036937981175638,0.36314115322201,0.36264114229562,High_vs_Not_AD
SLC25A29,Ast,0.618264398880495,6.96083983249968,8.43095108162504,0.00473113235864179,0.217517581821298,0.251181547467859,High_vs_Not_AD
AL133367.1,Ast,0.539234509699085,1.36335443063422,5.89705991642819,0.0172934055642556,0.299221476002877,0.315273308899344,High_vs_Not_AD
AC124312.2,Ast,-1.01238217322108,0.0850660782931016,6.26846033759529,0.0138386776477252,0.281854673751274,0.304039190839714,High_vs_Not_AD
APBA2,Ast,0.711934244638466,7.16355274610029,9.03079534782249,0.00351517833334038,0.19112774171613,0.234543969844679,High_vs_Not_AD
AC026150.1,Ast,0.510118471744229,0.520016571004133,4.98134667316512,0.0280437452911078,0.335527607162868,0.34406424800872,High_vs_Not_AD
LINC02352,Ast,0.663113678815799,1.84123011875025,7.93191091412263,0.00607216282722437,0.232882541491426,0.265540560392764,High_vs_Not_AD
GREM1,Ast,1.40378713853857,1.22820780400298,12.6810315659358,0.000600106067024848,0.102448556296805,0.142691994334698,High_vs_Not_AD
AC010809.3,Ast,-0.791472805613402,1.71977701967016,5.41251468106876,0.0224214798221105,0.321315344199102,0.329755681016784,High_vs_Not_AD
NOP10,Ast,-0.622627529562188,2.09523385850221,7.71008742571279,0.00679387685262118,0.243691615049293,0.271821944550481,High_vs_Not_AD
NUTM1,Ast,1.26492898930308,0.0525291267826466,8.67359755835053,0.00397187223396041,0.201268614573376,0.239978339747969,High_vs_Not_AD
AC021351.1,Ast,-0.821266498944975,2.9615191109356,6.88425368905263,0.010364156637706,0.264419209642451,0.291944327809582,High_vs_Not_AD
RASGRP1,Ast,0.669217567055083,3.83073781343109,4.8630375269563,0.0302254455417742,0.344120419203149,0.35012735183264,High_vs_Not_AD
GPR176,Ast,0.611788890769312,3.81187463813834,7.13652967308773,0.00910045779163615,0.25827135776726,0.286950937194409,High_vs_Not_AD
SRP14,Ast,-0.537174640855752,5.30189003362547,5.75337721599306,0.0187120059734583,0.304438202104242,0.319699851569064,High_vs_Not_AD
CCDC9B,Ast,0.515048284129744,2.52012789222504,5.53334301024198,0.0210474368235813,0.316014049554664,0.327870265552788,High_vs_Not_AD
KNL1,Ast,0.553097933712148,0.759094631948477,4.62906245718608,0.0341414407002753,0.355361015448224,0.357811766442808,High_vs_Not_AD
LTK,Ast,0.702691104996209,0.0403864307418244,4.57694501434283,0.0347518457725927,0.356080506369203,0.358743803717957,High_vs_Not_AD
AC036103.1,Ast,-0.652863207694969,0.991768468214005,4.69867100003195,0.0328978621031028,0.353349385760004,0.35548991264433,High_vs_Not_AD
LCMT2,Ast,0.58327762880485,1.38042018133538,7.47767714112565,0.00761614306067031,0.247824301002041,0.277671748479172,High_vs_Not_AD
STRC,Ast,-0.558644826853809,1.55765436703378,6.35831427965847,0.0135773196987592,0.281180007986875,0.302858512070236,High_vs_Not_AD
AC051619.5,Ast,-0.879663104388265,5.24874329559089,5.61573393231687,0.0201343239490433,0.310905392860205,0.325424150076241,High_vs_Not_AD
SLC28A2,Ast,-1.49409770835887,2.62343590999809,10.4063092060948,0.00180176678249336,0.144687429775576,0.195381274859337,High_vs_Not_AD
AC068722.1,Ast,-0.512927998921486,0.11492934627515,4.84252042706276,0.0300326640564911,0.344120419203149,0.349890424836883,High_vs_Not_AD
FGF7,Ast,-0.784847688603394,0.892276706139573,10.5069838840982,0.00167800468678559,0.141916502161893,0.19222022287054,High_vs_Not_AD
AC020892.1,Ast,-0.743447721448205,1.05808413350992,5.18500654055855,0.025242320683108,0.329064307572256,0.338155355313791,High_vs_Not_AD
AC020892.2,Ast,-0.701111621650284,2.35231171835281,6.4320568376848,0.0130964589590184,0.27974790367972,0.302504571490577,High_vs_Not_AD
AC090971.2,Ast,-0.819840547611704,1.79081996449773,9.97232815550817,0.00221417175642612,0.160398157639788,0.208761414173757,High_vs_Not_AD
PRTG,Ast,-0.532214458922816,4.95553255534976,4.67328656591422,0.0335327985502572,0.353808298977242,0.356458590975132,High_vs_Not_AD
AC100839.1,Ast,-0.667065492934949,-0.0616422641873806,4.38324945161686,0.0386563795426416,0.367115908584682,0.366704149040269,High_vs_Not_AD
AC100839.2,Ast,-0.650976518500684,0.0454897980713334,4.22936251246492,0.0422494069442019,0.374209664825369,0.373819541709764,High_vs_Not_AD
CA12,Ast,-0.827918880353636,4.64165055855959,4.18930592608504,0.0438642145145488,0.378374518998871,0.376948075299857,High_vs_Not_AD
USP3-AS1,Ast,-0.547466661415312,4.67636952875521,4.84231660412547,0.0305657250593267,0.346432217344074,0.351346228167294,High_vs_Not_AD
AC100830.1,Ast,-0.834481326330338,2.35179506532872,9.19310495616262,0.00324685740314443,0.182569044178509,0.229507610492359,High_vs_Not_AD
RBPMS2,Ast,0.906287397495621,0.64536452621054,7.15971183521412,0.00884083492672624,0.257304593050717,0.284956991684729,High_vs_Not_AD
ZWILCH,Ast,-0.511580207404729,1.80086451050373,4.7667044506148,0.0318400102661238,0.349940400759851,0.354099006239199,High_vs_Not_AD
AC012568.1,Ast,-0.858479439267114,0.340884397768493,6.14941660865388,0.0148665242921926,0.290022771278851,0.308862522730501,High_vs_Not_AD
RPLP1,Ast,-0.738937126233021,5.15399246430716,11.6622239105889,0.000991677484477578,0.12290087235783,0.163869655271436,High_vs_Not_AD
AC009690.2,Ast,-0.738836175735629,4.21448552135617,4.78782848403815,0.0314925699959327,0.349474201984516,0.35371828743698,High_vs_Not_AD
ADPGK-AS1,Ast,-0.618732869465056,3.61323320703473,6.61214102763465,0.0119267576146895,0.275632796496688,0.299174361532068,High_vs_Not_AD
AC103874.1,Ast,-0.562540746721983,3.5750512736878,4.26326353726828,0.0420932219703576,0.373848681642303,0.373323577471062,High_vs_Not_AD
NPTN-IT1,Ast,0.547395586310938,2.29543270133279,9.46228142844688,0.00284734910971188,0.172308025849607,0.223455481183004,High_vs_Not_AD
SEMA7A,Ast,0.723082494590375,1.54676884233321,4.44131412236014,0.0380698477444849,0.365731169655328,0.365192124295652,High_vs_Not_AD
LMAN1L,Ast,-1.13480721973158,0.805159920004043,6.22746647979412,0.0143095693578471,0.285462192266281,0.306404909106897,High_vs_Not_AD
C15orf39,Ast,0.532865530135116,0.717830513617627,4.34248936733838,0.0400202984802177,0.36998281721989,0.369293910943589,High_vs_Not_AD
NRG4,Ast,-0.718218927046875,2.6096954054387,7.7124747131501,0.00679004942848424,0.243691615049293,0.271777819293056,High_vs_Not_AD
RPS17,Ast,-0.614419658188049,3.31335401936865,11.1528383789475,0.00126284615630182,0.129377793807981,0.176088797248768,High_vs_Not_AD
AP3B2,Ast,-0.534002792700387,5.24426305134833,6.71741310631623,0.0112894284429949,0.271744213173897,0.297700065742391,High_vs_Not_AD
FSD2,Ast,-0.648011487435432,2.42245918917858,4.67800138190333,0.033452843138051,0.353808298977242,0.356362070955026,High_vs_Not_AD
